id,SalePrice
893,152375.4703419549
1106,333076.33573677676
414,107050.72325124897
523,159840.6633771308
1037,325067.3088467706
615,78455.06776929526
219,256053.5039254789
1161,142583.78885252835
650,76374.67203891222
888,146309.87045141918
577,141059.69619654535
1253,117215.89231132822
1062,101093.20092451997
568,204398.55084306328
1109,173893.73648347612
1114,135520.74344097238
169,201149.504715837
1103,136648.97190645896
1121,113660.61835892303
68,218795.6981923639
1041,156068.92736764022
454,207264.98466458413
671,184509.26503482464
1095,132609.845439945
193,204190.63429752216
124,158092.98909061437
416,194870.12408779142
278,106096.07103203835
434,176800.96599972586
1318,200562.21520206804
185,123603.87933473602
555,266378.4607164278
1174,178598.847264705
77,111414.41364981577
907,257264.08937752218
675,147725.51912260544
1399,131895.29611327132
375,208868.89685121278
1033,332245.61961419485
260,105869.760633403
52,127889.65091920747
245,238058.25667791904
1102,115076.39879046533
582,318365.0131715649
680,125345.2675912643
1133,121712.86619767924
1221,104592.53309422554
50,131139.83440214425
592,420615.89288555126
1270,125293.36988857859
1250,120331.5121859932
1139,209465.22588423316
491,113947.17687256885
1025,289148.4785315282
812,145688.6467424753
142,241032.64472692178
847,213407.63538857835
926,159820.73218113175
773,134788.13346963952
533,103741.82419157421
30,68150.36024910526
1300,164846.1239607148
66,302628.8414317454
766,249395.3066949966
1348,294380.21145401546
176,210032.73482850305
395,107587.79134928113
620,310547.62470810325
1132,116016.25661523484
116,163637.6231857505
895,125823.46763437105
1222,125046.87175789956
428,106997.90365641708
737,84765.75128386315
899,437331.45322320965
683,173465.10725873002
991,296103.17686982703
719,308528.990854387
45,141167.5368576152
60,116593.46636036127
364,115825.2731820705
399,77363.67488198997
423,116658.1486968399
495,103543.41184393235
417,159522.93034032788
585,135861.19239226446
271,261876.6109577467
352,198346.85398669468
1079,141575.85467555092
1345,192503.64571714262
837,143585.09651629697
644,134914.24536042113
275,127772.64155956054
323,250207.04687351163
79,116740.5240573929
923,181523.7501909447
276,174866.0948984748
1266,178446.0719977929
221,202928.62185484605
317,256661.3328105014
1007,168913.88898713232
1241,209727.15645971603
71,261996.15388911765
16,133766.73767313152
1165,193683.62205044512
1321,175147.17312921037
755,164533.65830695315
721,260681.4460175021
1048,143697.67167301933
629,196960.44448035242
637,57534.72115865002
465,116284.41336259819
856,143052.83759096076
1398,141067.9963260351
383,208301.95133879804
1429,110186.80346781306
789,104879.79698767907
1341,116943.60491221065
1217,138018.2940228748
333,278762.8327951952
544,132123.76762582856
204,139175.15332767044
1135,180736.2810799746
1415,188141.91533822444
430,185396.0556123824
1273,127610.56717538882
747,231137.16369597582
590,90966.25399702176
839,146122.00088094393
1294,193242.98987890428
591,195569.02729434182
586,340243.1202282896
1202,197638.68574239936
199,119281.40669115781
917,58103.381617319195
995,365987.87021500955
1229,339879.83999793755
44,129442.7222829065
1034,230045.29798406083
692,564698.6702448893
232,329487.8412013344
527,131275.35913636757
102,170040.58824044696
1093,153319.81964559003
412,128894.73994895589
1393,122546.10106540463
908,234703.679224454
783,196303.49758656556
953,124733.63331498974
621,67614.33765899093
670,117655.23190193759
129,139832.4431203358
530,236739.83544813187
911,154618.87357254984
999,83573.0282970042
1451,130707.50647656879
1164,131920.59681512686
248,147277.72719197933
529,87065.00768397901
734,132241.00408565503
33,209179.47565801427
635,139835.60675048683
1028,287596.2613318176
1054,141562.1516124537
576,113549.38921012018
844,123822.31137722325
298,239495.3403637989
262,305548.11834190396
1047,414551.8916859972
940,215046.97559768936
310,393607.3921485937
164,90672.938535254
1010,108510.46845608327
600,148289.6337842826
1176,295062.7882749064
372,111290.32586105252
240,120612.58040233333
882,219844.69801147163
1334,124658.40612915771
1359,157933.12528113043
1157,199367.4699008784
813,105644.85894202566
1332,127895.32597699137
426,144886.31748470024
1055,254452.76953095445
64,130705.26327107217
818,279628.6630291485
1395,218247.03974259822
1307,193955.18149911158
916,89251.07124560232
433,113783.33037129935
694,101857.53407402549
967,141148.76158403524
1171,144402.9723791835
1043,193176.00861093192
608,176585.58784584593
1090,205899.00873626277
31,98680.32896349073
57,202218.9044901268
1179,132621.96757826206
452,240273.51835749048
559,215718.79688381284
366,121912.17414052221
424,299223.5451520243
959,202015.13722820624
807,122410.5119486962
1134,236223.40254176903
980,133078.07279859448
355,149694.6531829018
1357,108696.72764853734
307,232426.75509231008
797,150339.5307491025
100,111302.41801133218
756,159806.581791959
272,215899.6692303333
241,248548.26553648684
598,207074.80438570035
947,136549.80786637528
359,110256.1981009343
985,140810.42868547706
778,133845.77655344034
708,217098.34895931804
599,204716.66126396225
875,95659.92927869002
931,228425.78853973985
340,148322.57517568307
1280,93716.50766419827
1433,103450.55884006977
1042,172217.04388502726
712,106090.9977173224
1050,100733.80065033417
311,174023.2289719195
572,117034.01126190148
918,128226.75370232544
603,231186.222859376
290,136543.91205330196
429,193912.37578929006
1086,164413.0807902004
209,252841.04488084468
681,126295.09660523963
354,111373.7865302464
325,233567.07893949523
238,222810.67315661508
59,420788.07120541565
1160,184614.47152456283
536,119737.44389992909
368,148158.94196721652
696,177657.30674476238
24,143431.1572115367
108,93670.86491476717
